A♣2♣3♣    !
A♣2♣4♣    !!
A♣2♣5♣    """"
A♣2♣6♣    #
A♣2♣A♦    ##
A♣2♣2♦    $
A♣2♣3♦    $$
A♣2♣4♦    %
A♣2♣5♦    %%
A♣2♣6♦    &
A♣2♣A♥    (
A♣2♣2♥    ()
A♣2♣3♥    (c)
A♣2♣4♥    (r)
A♣2♣5♥    (tm)
A♣2♣6♥    )
A♣2♣A♠    *
A♣2♣2♠    **
A♣2♣3♠    +
3♣A♣2♣    attic
3♣A♣4♣    attics
3♣A♣5♣    attire
3♣A♣6♣    attn
3♣A♣A♦    au
3♣A♣2♦    auburn
3♣A♣3♦    auction
3♣A♣4♦    audible
3♣A♣5♦    audio
3♣A♣6♦    audit
3♣A♣A♥    audits
3♣A♣2♥    audrey
3♣A♣3♥    aug
3♣A♣4♥    augur
3♣A♣5♥    august
3♣A♣6♥    auk
3♣A♣A♠    aunt
3♣A♣2♠    aunts
3♣A♣3♠    aura
3♣A♣4♠    aural
3♣A♣5♠    austere
3♣A♣6♠    austin
3♣2♣A♣    author
3♣2♣4♣    authors
3♣2♣5♣    auto
3♣2♣6♣    autos
3♣2♣A♦    autumn
3♣2♣2♦    av
3♣2♣3♦    avail
3♣2♣4♦    avatar
3♣2♣5♦    avatars
3♣2♣6♦    avenue
3♣2♣A♥    avenues
3♣2♣2♥    average
3♣2♣3♥    avert
3♣2♣4♥    avery
3♣2♣5♥    avian
3♣2♣6♥    aviate
3♣2♣A♠    aviator
3♣2♣2♠    avid
3♣2♣3♠    avis
3♣2♣4♠    avocado
3♣2♣5♠    avoid
3♣2♣6♠    avon
3♣4♣A♣    avow
3♣4♣2♣    aw
3♣4♣5♣    await
3♣4♣6♣    awake
3♣4♣A♦    award
3♣4♣2♦    awards
3♣4♣3♦    aware
3♣4♣4♦    awash
3♣4♣5♦    away
3♣4♣6♦    awe
3♣4♣A♥    awed
3♣4♣2♥    awful
3♣4♣3♥    awkward
3♣4♣4♥    awl
3♣4♣5♥    awls
3♣4♣6♥    awn
3♣4♣A♠    awning
3♣4♣2♠    awnings
3♣4♣3♠    awoke
3♣4♣4♠    awol
3♣4♣5♠    awry
3♣4♣6♠    ax
3♣5♣A♣    axe
3♣5♣2♣    axel
3♣5♣4♣    axes
3♣5♣6♣    axiom
3♣5♣A♦    axis
3♣5♣2♦    axle
3♣5♣3♦    axles
3♣5♣4♦    axon
3♣5♣5♦    ay
3♣5♣6♦    aye
3♣5♣A♥    az
3♣5♣2♥    aztec
3♣5♣3♥    azure
3♣5♣4♥    b
3♣5♣5♥    b&w
3♣5♣6♥    b's
3♣5♣A♠    b-52
3♣5♣2♠    ba
3♣5♣3♠    baal
3♣5♣4♠    babe
3♣5♣5♠    babel
3♣5♣6♠    babes
3♣6♣A♣    babies
3♣6♣2♣    baboon
3♣6♣4♣    baboons
3♣6♣5♣    baby
3♣6♣A♦    bach
3♣6♣2♦    back
3♣6♣3♦    backhoe
3♣6♣4♦    backlit
3♣6♣5♦    backs
3♣6♣6♦    backup
3♣6♣A♥    backups
3♣6♣2♥    bacon
3♣6♣3♥    bad
3♣6♣4♥    badass
3♣6♣5♥    badge
3♣6♣6♥    badger
3♣6♣A♠    badgers
3♣6♣2♠    badges
3♣6♣3♠    badly
3♣6♣4♠    baffle
3♣6♣5♠    bag
3♣6♣6♠    bagel
3♣A♦A♣    bagels
3♣A♦2♣    baggage
3♣A♦4♣    baggy
3♣A♦5♣    bags
3♣A♦6♣    bah
3♣A♦2♦    bahama
3♣A♦3♦    bail
3♣A♦4♦    bait
3♣A♦5♦    bake
3♣A♦6♦    baked
3♣A♦A♥    baker
3♣A♦2♥    bakers
3♣A♦3♥    bakery
3♣A♦4♥    bakes
3♣A♦5♥    baking
3♣A♦6♥    balcony
3♣A♦A♠    bald
3♣A♦2♠    bale
3♣A♦3♠    bales
3♣A♦4♠    bali
3♣A♦5♠    balk
3♣A♦6♠    balkan
3♣2♦A♣    ball
3♣2♦2♣    balled
3♣2♦4♣    ballet
3♣2♦5♣    balloon
3♣2♦6♣    ballot
3♣2♦A♦    balls
3♣2♦3♦    balm
3♣2♦4♦    balms
3♣2♦5♦    balmy
3♣2♦6♦    balsa
3♣2♦A♥    bambi
3♣2♦2♥    bamboo
3♣2♦3♥    ban
3♣2♦4♥    banal
3♣2♦5♥    banana
3♣2♦6♥    band
3♣2♦A♠    bandage
3♣2♦2♠    bandana
3♣2♦3♠    bandit
3♣2♦4♠    bandits
3♣2♦5♠    bands
3♣2♦6♠    bandy
3♣3♦A♣    bane
3♣3♦2♣    bang
3♣3♦4♣    bangs
3♣3♦5♣    banish
3♣3♦6♣    banjo
3♣3♦A♦    banjos
3♣3♦2♦    bank
3♣3♦4♦    banker
3♣3♦5♦    bankers
3♣3♦6♦    banking
3♣3♦A♥    banks
3♣3♦2♥    banner
3♣3♦3♥    banners
3♣3♦4♥    bans
3♣3♦5♥    banshee
3♣3♦6♥    bar
3♣3♦A♠    barb
3♣3♦2♠    barbed
3♣3♦3♠    barber
3♣3♦4♠    barbers
3♣3♦5♠    barbs
3♣3♦6♠    bard
3♣4♦A♣    bards
3♣4♦2♣    bare
3♣4♦4♣    barf
3♣4♦5♣    bargain
3♣4♦6♣    barge
3♣4♦A♦    barges
3♣4♦2♦    barista
3♣4♦3♦    bark
3♣4♦5♦    barks
3♣4♦6♦    barley
3♣4♦A♥    barn
3♣4♦2♥    barnes
3♣4♦3♥    barns
3♣4♦4♥    baron
3♣4♦5♥    barons
3♣4♦6♥    barony
3♣4♦A♠    baroque
3♣4♦2♠    barrel
3♣4♦3♠    barrels
3♣4♦4♠    barrier
3♣4♦5♠    barry
3♣4♦6♠    bars
3♣5♦A♣    bart
3♣5♦2♣    barter
3♣5♦4♣    barton
3♣5♦5♣    base
3♣5♦6♣    bases
3♣5♦A♦    bash
3♣5♦2♦    bashful
3♣5♦3♦    basic
3♣5♦4♦    basil
3♣5♦6♦    basin
3♣5♦A♥    basins
3♣5♦2♥    basis
3♣5♦3♥    bask
3♣5♦4♥    basket
3♣5♦5♥    baskets
3♣5♦6♥    bass
3♣5♦A♠    bassoon
3♣5♦2♠    baste
3♣5♦3♠    bat
3♣5♦4♠    batch
3♣5♦5♠    batches
3♣5♦6♠    bates
3♣6♦A♣    bath
3♣6♦2♣    bathe
3♣6♦4♣    baths
3♣6♦5♣    bathtub
3♣6♦6♣    baton
3♣6♦A♦    batons
3♣6♦2♦    bats
3♣6♦3♦    battery
3♣6♦4♦    battle
3♣6♦5♦    battles
3♣6♦A♥    batty
3♣6♦2♥    bauble
3♣6♦3♥    baubles
3♣6♦4♥    baud
3♣6♦5♥    bawd
3♣6♦6♥    bawdy
3♣6♦A♠    bawl
3♣6♦2♠    bay
3♣6♦3♠    bayer
3♣6♦4♠    bayou
3♣6♦5♠    bays
3♣6♦6♠    bazaar
3♣A♥A♣    bazooka
3♣A♥2♣    bb
3♣A♥4♣    bbb
3♣A♥5♣    bbbb
3♣A♥6♣    bbc
3♣A♥A♦    bbs
3♣A♥2♦    bc
3♣A♥3♦    bcd
3♣A♥4♦    bd
3♣A♥5♦    be
3♣A♥6♦    beach
3♣A♥2♥    beaches
3♣A♥3♥    beacon
3♣A♥4♥    bead
3♣A♥5♥    beads
3♣A♥6♥    beady
3♣A♥A♠    beagle
3♣A♥2♠    beak
3♣A♥3♠    beaks
3♣A♥4♠    beam
3♣A♥5♠    beams
3♣A♥6♠    bean
3♣2♥A♣    beans
3♣2♥2♣    bear
3♣2♥4♣    beard
3♣2♥5♣    bearded
3♣2♥6♣    beards
3♣2♥A♦    bears
3♣2♥2♦    beast
3♣2♥3♦    beasts
3♣2♥4♦    beat
3♣2♥5♦    beats
3♣2♥6♦    beau
3♣2♥A♥    beauty
3♣2♥3♥    beaver
3♣2♥4♥    beavers
3♣2♥5♥    bebop
3♣2♥6♥    beck
3♣2♥A♠    becky
3♣2♥2♠    bed
3♣2♥3♠    bedpans
3♣2♥4♠    bedrock
3♣2♥5♠    bedroom
3♣2♥6♠    beds
3♣3♥A♣    bee
3♣3♥2♣    beech
3♣3♥4♣    beef
3♣3♥5♣    beefy
3♣3♥6♣    been
3♣3♥A♦    beep
3♣3♥2♦    beeper
3♣3♥3♦    beepers
3♣3♥4♦    beeps
3♣3♥5♦    beer
3♣3♥6♦    beers
3♣3♥A♥    bees
3♣3♥2♥    beeswax
3♣3♥4♥    beet
3♣3♥5♥    beetle
3♣3♥6♥    beets
3♣3♥A♠    befall
3♣3♥2♠    befit
3♣3♥3♠    befog
3♣3♥4♠    beg
3♣3♥5♠    began
3♣3♥6♠    beget
3♣4♥A♣    beggar
3♣4♥2♣    begin
3♣4♥4♣    begs
3♣4♥5♣    begun
3♣4♥6♣    behind
3♣4♥A♦    beige
3♣4♥2♦    being
3♣4♥3♦    beings
3♣4♥4♦    beirut
3♣4♥5♦    belch
3♣4♥6♦    belches
3♣4♥A♥    belfry
3♣4♥2♥    belief
3♣4♥3♥    bell
3♣4♥5♥    bella
3♣4♥6♥    belle
3♣4♥A♠    bellies
3♣4♥2♠    bellow
3♣4♥3♠    bells
3♣4♥4♠    belly
3♣4♥5♠    beloved
3♣4♥6♠    below
3♣5♥A♣    belt
3♣5♥2♣    belts
3♣5♥4♣    bemoan
3♣5♥5♣    bemused
3♣5♥6♣    ben
3♣5♥A♦    bench
3♣5♥2♦    benches
3♣5♥3♦    bend
3♣5♥4♦    bender
3♣5♥5♦    bends
3♣5♥6♦    bendy
3♣5♥A♥    benign
3♣5♥2♥    benny
3♣5♥3♥    bent
3♣5♥4♥    benz
3♣5♥6♥    beret
3♣5♥A♠    berg
3♣5♥2♠    berlin
3♣5♥3♠    berm
3♣5♥4♠    berms
3♣5♥5♠    berra
3♣5♥6♠    berries
3♣6♥A♣    berry
3♣6♥2♣    bert
3♣6♥4♣    berth
3♣6♥5♣    beryl
3♣6♥6♣    beset
3♣6♥A♦    bespoke
3♣6♥2♦    bess
3♣6♥3♦    best
3♣6♥4♦    bet
3♣6♥5♦    beta
3♣6♥6♦    beth
3♣6♥A♥    betray
3♣6♥2♥    bets
3♣6♥3♥    betsy
3♣6♥4♥    bette
3♣6♥5♥    better
3♣6♥A♠    betty
3♣6♥2♠    bevel
3♣6♥3♠    bevy
3♣6♥4♠    beware
3♣6♥5♠    beyond
3♣6♥6♠    bf
3♣A♠A♣    bflat
3♣A♠2♣    bg
3♣A♠4♣    bh
3♣A♠5♣    bi
3♣A♠6♣    bias
3♣A♠A♦    bib
3♣A♠2♦    bible
3♣A♠3♦    bibs
3♣A♠4♦    bicep
3♣A♠5♦    biceps
3♣A♠6♦    bicycle
3♣A♠A♥    bid
3♣A♠2♥    bide
3♣A♠3♥    bidet
3♣A♠4♥    bids
3♣A♠5♥    bier
3♣A♠6♥    big
3♣A♠2♠    bigamy
3♣A♠3♠    biggest
3♣A♠4♠    bigot
3♣A♠5♠    bike
3♣A♠6♠    biker
3♣2♠A♣    bikers
3♣2♠2♣    bikes
3♣2♠4♣    bikini
3♣2♠5♣    bikinis
3♣2♠6♣    bile
3♣2♠A♦    bilge
3♣2♠2♦    bilk
3♣2♠3♦    bill
3♣2♠4♦    billowy
3♣2♠5♦    bills
3♣2♠6♦    billy
3♣2♠A♥    bimbo
3♣2♠2♥    bin
3♣2♠3♥    binary
3♣2♠4♥    bind
3♣2♠5♥    binder
3♣2♠6♥    binders
3♣2♠A♠    binge
3♣2♠3♠    bingo
3♣2♠4♠    bins
3♣2♠5♠    bio
3♣2♠6♠    biology
3♣3♠A♣    bionic
3♣3♠2♣    biopsy
3♣3♠4♣    biped
3♣3♠5♣    biplane
3♣3♠6♣    bipod
3♣3♠A♦    birch
3♣3♠2♦    bird
3♣3♠3♦    birdie
3♣3♠4♦    birds
3♣3♠5♦    birth
3♣3♠6♦    births
3♣3♠A♥    biscuit
3♣3♠2♥    bishop
3♣3♠3♥    bishops
3♣3♠4♥    bison
3♣3♠5♥    bisque
3♣3♠6♥    bistro
3♣3♠A♠    bistros
3♣3♠2♠    bit
3♣3♠4♠    bite
3♣3♠5♠    bites
3♣3♠6♠    bits
3♣4♠A♣    bitten
3♣4♠2♣    bitter
3♣4♠4♣    biz
3♣4♠5♣    bizarre
3♣4♠6♣    bj
3♣4♠A♦    bk
3♣4♠2♦    bl
3♣4♠3♦    blab
3♣4♠4♦    black
3♣4♠5♦    bladder
3♣4♠6♦    blade
3♣4♠A♥    blades
3♣4♠2♥    blah
3♣4♠3♥    blair
3♣4♠4♥    blake
3♣4♠5♥    blame
3♣4♠6♥    bland
3♣4♠A♠    blank
3♣4♠2♠    blanket
3♣4♠3♠    blare
3♣4♠5♠    blast
3♣4♠6♠    blasts
3♣5♠A♣    blat
3♣5♠2♣    blaze
3♣5♠4♣    blazes
3♣5♠5♣    blazing
3♣5♠6♣    bldg
3♣5♠A♦    bleach
3♣5♠2♦    bleak
3♣5♠3♦    bleat
3♣5♠4♦    bled
3♣5♠5♦    bleed
3♣5♠6♦    bleep
3♣5♠A♥    blemish
3♣5♠2♥    blend
3♣5♠3♥    blender
3♣5♠4♥    bless
3♣5♠5♥    blew
3♣5♠6♥    blight
3♣5♠A♠    blimp
3♣5♠2♠    blimps
3♣5♠3♠    blind
3♣5♠4♠    bling
3♣5♠6♠    blink
3♣6♠A♣    blinker
3♣6♠2♣    blip
3♣6♠4♣    blips
3♣6♠5♣    bliss
3♣6♠6♣    blister
3♣6♠A♦    blithe
3♣6♠2♦    blitz
3♣6♠3♦    bloat
3♣6♠4♦    bloated
3♣6♠5♦    blob
3♣6♠6♦    blobs
3♣6♠A♥    bloc
3♣6♠2♥    block
3♣6♠3♥    blocks
3♣6♠4♥    blocky
3♣6♠5♥    blog
3♣6♠6♥    blogs
3♣6♠A♠    bloke
3♣6♠2♠    blond
3♣6♠3♠    blonde
3♣6♠4♠    blood
3♣6♠5♠    bloody
4♣A♣2♣    bloom
4♣A♣3♣    bloop
4♣A♣5♣    blooper
4♣A♣6♣    blossom
4♣A♣A♦    blot
4♣A♣2♦    blotch
4♣A♣3♦    blotchy
4♣A♣4♦    blots
4♣A♣5♦    blouse
4♣A♣6♦    blouses
4♣A♣A♥    blow
4♣A♣2♥    blown
4♣A♣3♥    blows
4♣A♣4♥    blt
4♣A♣5♥    blubber
4♣A♣6♥    blue
4♣A♣A♠    blues
4♣A♣2♠    bluff
4♣A♣3♠    bluffs
4♣A♣4♠    bluish
4♣A♣5♠    blunt
4♣A♣6♠    blur
4♣2♣A♣    blurb
4♣2♣3♣    blurry
4♣2♣5♣    blurs
4♣2♣6♣    blurt
4♣2♣A♦    blush
4♣2♣2♦    blvd
4♣2♣3♦    blythe
4♣2♣4♦    bm
4♣2♣5♦    bmw
4♣2♣6♦    bn
4♣2♣A♥    bo
4♣2♣2♥    boa
4♣2♣3♥    boar
4♣2♣4♥    board
4♣2♣5♥    boards
4♣2♣6♥    boars
4♣2♣A♠    boas
4♣2♣2♠    boast
4♣2♣3♠    boasts
4♣2♣4♠    boat
4♣2♣5♠    boats
4♣2♣6♠    bob
4♣3♣A♣    bobby
4♣3♣2♣    bobcat
4♣3♣5♣    bobcats
4♣3♣6♣    bobs
4♣3♣A♦    bode
4♣3♣2♦    bodies
4♣3♣3♦    body
4♣3♣4♦    bog
4♣3♣5♦    bogey
4♣3♣6♦    boggy
4♣3♣A♥    bogs
4♣3♣2♥    bogus
4♣3♣3♥    boil
4♣3♣4♥    boiled
4♣3♣5♥    boiler
4♣3♣6♥    boiling
4♣3♣A♠    boils
4♣3♣2♠    boise
4♣3♣3♠    bok
4♣3♣4♠    bola
4♣3♣5♠    bold
4♣3♣6♠    bolo
4♣5♣A♣    bologna
4♣5♣2♣    bolt
4♣5♣3♣    bolts
4♣5♣6♣    bomb
4♣5♣A♦    bombay
4♣5♣2♦    bomber
4♣5♣3♦    bombers
4♣5♣4♦    bombs
4♣5♣5♦    bonanza
4♣5♣6♦    bonbon
4♣5♣A♥    bonbons
4♣5♣2♥    bond
4♣5♣3♥    bonds
4♣5♣4♥    bone
4♣5♣5♥    boned
4♣5♣6♥    bones
4♣5♣A♠    boney
4♣5♣2♠    bonfire
4♣5♣3♠    bong
4♣5♣4♠    bongo
4♣5♣5♠    bongs
4♣5♣6♠    bonn
4♣6♣A♣    bonnet
4♣6♣2♣    bonnets
4♣6♣3♣    bonus
4♣6♣5♣    bonuses
4♣6♣A♦    bony
4♣6♣2♦    boo
4♣6♣3♦    boob
4♣6♣4♦    booby
4♣6♣5♦    boogie
4♣6♣6♦    book
4♣6♣A♥    books
4♣6♣2♥    boom
4♣6♣3♥    boon
4♣6♣4♥    boone
4♣6♣5♥    boor
4♣6♣6♥    boost
4♣6♣A♠    boot
4♣6♣2♠    booth
4♣6♣3♠    bootleg
4♣6♣4♠    boots
4♣6♣5♠    booty
4♣6♣6♠    booze
4♣A♦A♣    bop
4♣A♦2♣    borax
4♣A♦3♣    border
4♣A♦5♣    borders
4♣A♦6♣    bore
4♣A♦2♦    bored
4♣A♦3♦    bores
4♣A♦4♦    borg
4♣A♦5♦    boring
4♣A♦6♦    boris
4♣A♦A♥    born
4♣A♦2♥    borneo
4♣A♦3♥    boron
4♣A♦4♥    borough
4♣A♦5♥    bosom
4♣A♦6♥    boss
4♣A♦A♠    bossy
4♣A♦2♠    boston
4♣A♦3♠    bot
4♣A♦4♠    botch
4♣A♦5♠    botched
4♣A♦6♠    both
4♣2♦A♣    bottle
4♣2♦2♣    bottles
4♣2♦3♣    bottom
4♣2♦5♣    boudoir
4♣2♦6♣    bough
4♣2♦A♦    boulder
4♣2♦3♦    bouncy
4♣2♦4♦    bound
4♣2♦5♦    bounty
4♣2♦6♦    bourbon
4♣2♦A♥    bout
4♣2♦2♥    bouts
4♣2♦3♥    bovine
4♣2♦4♥    bow
4♣2♦5♥    bowed
4♣2♦6♥    bowel
4♣2♦A♠    bowie
4♣2♦2♠    bowl
4♣2♦3♠    bowling
4♣2♦4♠    bowls
4♣2♦5♠    bows
4♣2♦6♠    box
4♣3♦A♣    boxed
4♣3♦2♣    boxer
4♣3♦3♣    boxes
4♣3♦5♣    boxy
4♣3♦6♣    boy
4♣3♦A♦    boyd
4♣3♦2♦    boyle
4♣3♦4♦    boys
4♣3♦5♦    bozo
4♣3♦6♦    bp
4♣3♦A♥    bq
4♣3♦2♥    br
4♣3♦3♥    bra
4♣3♦4♥    brace
4♣3♦5♥    braces
4♣3♦6♥    brad
4♣3♦A♠    brads
4♣3♦2♠    brady
4♣3♦3♠    brag
4♣3♦4♠    brags
4♣3♦5♠    braid
4♣3♦6♠    braids
4♣4♦A♣    brail
4♣4♦2♣    brain
4♣4♦3♣    brains
4♣4♦5♣    brainy
4♣4♦6♣    brake
4♣4♦A♦    brakes
4♣4♦2♦    bran
4♣4♦3♦    branch
4♣4♦5♦    brand
4♣4♦6♦    brands
4♣4♦A♥    brandy
4♣4♦2♥    brash
4♣4♦3♥    brass
4♣4♦4♥    brassy
4♣4♦5♥    brat
4♣4♦6♥    brats
4♣4♦A♠    brave
4♣4♦2♠    bravo
4♣4♦3♠    brawl
4♣4♦4♠    brawls
4♣4♦5♠    brawn
4♣4♦6♠    brawny
4♣5♦A♣    bray
4♣5♦2♣    brazil
4♣5♦3♣    breach
4♣5♦5♣    bread
4♣5♦6♣    break
4♣5♦A♦    breast
4♣5♦2♦    breasts
4♣5♦3♦    breath
4♣5♦4♦    bred
4♣5♦6♦    breed
4♣5♦A♥    breeds
4♣5♦2♥    breeze
4♣5♦3♥    breezy
4♣5♦4♥    brew
4♣5♦5♥    brewery
4♣5♦6♥    brian
4♣5♦A♠    briar
4♣5♦2♠    bribe
4♣5♦3♠    bribes
4♣5♦4♠    brick
4♣5♦5♠    bricks
4♣5♦6♠    bride
4♣6♦A♣    bridge
4♣6♦2♣    bridges
4♣6♦3♣    brie
4♣6♦5♣    brief
4♣6♦6♣    briefs
4♣6♦A♦    brig
4♣6♦2♦    brigade
4♣6♦3♦    bright
4♣6♦4♦    brim
4♣6♦5♦    brims
4♣6♦A♥    brine
4♣6♦2♥    bring
4♣6♦3♥    brink
4♣6♦4♥    briny
4♣6♦5♥    brisk
4♣6♦6♥    brisket
4♣6♦A♠    brittle
4♣6♦2♠    bro
4♣6♦3♠    broad
4♣6♦4♠    broil
4♣6♦5♠    broiler
4♣6♦6♠    broke
4♣A♥A♣    broken
4♣A♥2♣    broker
4♣A♥3♣    brokers
4♣A♥5♣    bronco
4♣A♥6♣    broncos
4♣A♥A♦    bronx
4♣A♥2♦    bronze
4♣A♥3♦    bronzed
4♣A♥4♦    brood
4♣A♥5♦    brook
4♣A♥6♦    broom
4♣A♥2♥    brooms
4♣A♥3♥    bros
4♣A♥4♥    broth
4♣A♥5♥    brothel
4♣A♥6♥    brow
4♣A♥A♠    brown
4♣A♥2♠    brows
4♣A♥3♠    browse
4♣A♥4♠    browser
4♣A♥5♠    bruce
4♣A♥6♠    bruin
4♣2♥A♣    bruise
4♣2♥2♣    bruises
4♣2♥3♣    brunch
4♣2♥5♣    bruno
4♣2♥6♣    brunt
4♣2♥A♦    brush
4♣2♥2♦    brushes
4♣2♥3♦    brutal
4♣2♥4♦    brute
4♣2♥5♦    brutes
4♣2♥6♦    bryan
4♣2♥A♥    bs
4♣2♥3♥    bt
4♣2♥4♥    btu
4♣2♥5♥    bu
4♣2♥6♥    bub
4♣2♥A♠    bubble
4♣2♥2♠    bubbles
4♣2♥3♠    bubbly
4♣2♥4♠    buck
4♣2♥5♠    bucket
4♣2♥6♠    buckets
4♣3♥A♣    buckle
4♣3♥2♣    buckles
4♣3♥3♣    bucks
4♣3♥5♣    bud
4♣3♥6♣    buddha
4♣3♥A♦    buddy
4♣3♥2♦    budge
4♣3♥3♦    budget
4♣3♥4♦    buds
4♣3♥5♦    buff
4♣3♥6♦    buffalo
4♣3♥A♥    buffed
4♣3♥2♥    buffer
4♣3♥4♥    buffers
4♣3♥5♥    buffet
4♣3♥6♥    buffoon
4♣3♥A♠    bug
4♣3♥2♠    buggy
4♣3♥3♠    bugle
4♣3♥4♠    bugs
4♣3♥5♠    buick
4♣3♥6♠    build
4♣4♥A♣    built
4♣4♥2♣    bulb
4♣4♥3♣    bulbs
4♣4♥5♣    bulge
4♣4♥6♣    bulges
4♣4♥A♦    bulk
4♣4♥2♦    bulky
4♣4♥3♦    bull
4♣4♥4♦    bullet
4♣4♥5♦    bulls
4♣4♥6♦    bully
4♣4♥A♥    bum
4♣4♥2♥    bump
4♣4♥3♥    bumper
4♣4♥5♥    bumpers
4♣4♥6♥    bumps
4♣4♥A♠    bumpy
4♣4♥2♠    bums
4♣4♥3♠    bun
4♣4♥4♠    bunch
4♣4♥5♠    bunches
4♣4♥6♠    bunco
4♣5♥A♣    bundle
4♣5♥2♣    bundles
4♣5♥3♣    bundy
4♣5♥5♣    bung
4♣5♥6♣    bungee
4♣5♥A♦    bunk
4♣5♥2♦    bunker
4♣5♥3♦    bunkers
4♣5♥4♦    bunks
4♣5♥5♦    bunny
4♣5♥6♦    buns
4♣5♥A♥    bunt
4♣5♥2♥    bunts
4♣5♥3♥    buoy
4♣5♥4♥    bureau
4♣5♥6♥    burg
4♣5♥A♠    burger
4♣5♥2♠    burgers
4♣5♥3♠    burglar
4♣5♥4♠    burial
4♣5♥5♠    burials
4♣5♥6♠    buried
4♣6♥A♣    burke
4♣6♥2♣    burlap
4♣6♥3♣    burly
4♣6♥5♣    burma
4♣6♥6♣    burn
4♣6♥A♦    burns
4♣6♥2♦    burnt
4♣6♥3♦    burp
4♣6♥4♦    burps
4♣6♥5♦    burr
4♣6♥6♦    burrito
4♣6♥A♥    burro
4♣6♥2♥    burrow
4♣6♥3♥    burst
4♣6♥4♥    burt
4♣6♥5♥    burton
4♣6♥A♠    bury
4♣6♥2♠    bus
4♣6♥3♠    buses
4♣6♥4♠    bush
4♣6♥5♠    bushel
4♣6♥6♠    bushes
4♣A♠A♣    bushy
4♣A♠2♣    buss
4♣A♠3♣    bust
4♣A♠5♣    busts
4♣A♠6♣    busy
4♣A♠A♦    but
4♣A♠2♦    butane
4♣A♠3♦    butch
4♣A♠4♦    butcher
4♣A♠5♦    butler
4♣A♠6♦    butt
4♣A♠A♥    butte
4♣A♠2♥    butter
4♣A♠3♥    buttery
4♣A♠4♥    button
4♣A♠5♥    buttons
4♣A♠6♥    buxom
4♣A♠2♠    buy
4♣A♠3♠    buyer
4♣A♠4♠    buyers
4♣A♠5♠    buys
4♣A♠6♠    buzz
4♣2♠A♣    bv
4♣2♠2♣    bvm
4♣2♠3♣    bw
4♣2♠5♣    bwana
4♣2♠6♣    bx
4♣2♠A♦    by
4♣2♠2♦    bye
4♣2♠3♦    bylaw
4♣2♠4♦    byline
4♣2♠5♦    byob
4♣2♠6♦    bypass
4♣2♠A♥    byrd
4♣2♠2♥    byron
4♣2♠3♥    byte
4♣2♠4♥    bytes
4♣2♠5♥    byway
4♣2♠6♥    bz
4♣2♠A♠    c
4♣2♠3♠    c#
4♣2♠4♠    c&w
4♣2♠5♠    c's
4♣2♠6♠    c/o
4♣3♠A♣    ca
4♣3♠2♣    cab
4♣3♠3♣    cabal
4♣3♠5♣    cabana
4♣3♠6♣    cabbage
4♣3♠A♦    cabin
4♣3♠2♦    cabins
4♣3♠3♦    cable
4♣3♠4♦    cables
4♣3♠5♦    caboose
4♣3♠6♦    cabot
4♣3♠A♥    cabs
4♣3♠2♥    cache
4♣3♠3♥    cackle
4♣3♠4♥    cacti
4♣3♠5♥    cactus
4♣3♠6♥    caddie
4♣3♠A♠    caddy
4♣3♠2♠    cadet
4♣3♠4♠    cadets
4♣3♠5♠    cads
4♣3♠6♠    caesar
4♣4♠A♣    cafe
4♣4♠2♣    cafes
4♣4♠3♣    cage
4♣4♠5♣    caged
4♣4♠6♣    cages
4♣4♠A♦    cagey
4♣4♠2♦    cain
4♣4♠3♦    cairn
4♣4♠4♦    cairo
4♣4♠5♦    cajun
4♣4♠6♦    cake
4♣4♠A♥    cakes
4♣4♠2♥    calcium
4♣4♠3♥    calf
4♣4♠4♥    calico
4♣4♠5♥    call
4♣4♠6♥    calls
4♣4♠A♠    callus
4♣4♠2♠    calm
4♣4♠3♠    calms
4♣4♠5♠    calvin
4♣4♠6♠    calzone
4♣5♠A♣    cam
4♣5♠2♣    came
4♣5♠3♣    camel
4♣5♠5♣    camels
4♣5♠6♣    cameo
4♣5♠A♦    camera
4♣5♠2♦    cameras
4♣5♠3♦    camo
4♣5♠4♦    camp
4♣5♠5♦    camper
4♣5♠6♦    campers
4♣5♠A♥    camps
4♣5♠2♥    campus
4♣5♠3♥    camry
4♣5♠4♥    can
4♣5♠5♥    can't
4♣5♠6♥    canal
4♣5♠A♠    canals
4♣5♠2♠    canary
4♣5♠3♠    cancer
4♣5♠4♠    candid
4♣5♠6♠    candied
4♣6♠A♣    candle
4♣6♠2♣    candles
4♣6♠3♣    candy
4♣6♠5♣    cane
4♣6♠6♣    caned
4♣6♠A♦    canes
4♣6♠2♦    canned
4♣6♠3♦    cannon
4♣6♠4♦    cannons
4♣6♠5♦    cannot
4♣6♠6♦    canny
4♣6♠A♥    canoe
4♣6♠2♥    canoes
4♣6♠3♥    canon
4♣6♠4♥    canopy
4♣6♠5♥    cans
4♣6♠6♥    canteen
4♣6♠A♠    canto
4♣6♠2♠    canvas
4♣6♠3♠    canyon
4♣6♠4♠    canyons
4♣6♠5♠    cap
5♣A♣2♣    capable
5♣A♣3♣    cape
5♣A♣4♣    caped
5♣A♣6♣    caper
5♣A♣A♦    capes
5♣A♣2♦    capitol
5♣A♣3♦    capri
5♣A♣4♦    caps
5♣A♣5♦    capsule
5♣A♣6♦    captain
5♣A♣A♥    caption
5♣A♣2♥    captive
5♣A♣3♥    car
5♣A♣4♥    carafe
